,Unnamed: 0.1,Unnamed: 0,Data,Adj Close,Monthly Return
1,3,3,01-01-2019,98.4303894,0.0281580444002702
2,4,4,01-02-2019,105.59375,0.0727759043082685
3,5,5,01-03-2019,111.6389542,0.0572496402485942
4,6,6,01-04-2019,123.6226196,0.1073430460350908
5,7,7,01-05-2019,117.0722961,-0.0529864479590754
6,8,8,01-06-2019,127.2724762,0.0871271892650613
7,9,9,01-07-2019,129.4671631,0.01724400251749
8,10,10,01-08-2019,130.9777679,0.0116678605125009
9,11,11,01-09-2019,132.5291901,0.0118449277680809
10,12,12,01-10-2019,136.6662903,0.0312165206538901
11,13,13,01-11-2019,144.3017426,0.0558693170293802
12,14,14,01-12-2019,150.8377533,0.0452940524642007
13,15,15,01-01-2020,162.8224792,0.079454417994172
14,16,16,01-02-2020,154.9601898,-0.0482874934630034
15,17,17,01-03-2020,151.2593384,-0.0238825946507714
16,18,18,01-04-2020,171.8799744,0.1363263664784086
17,19,19,01-05-2020,175.7547302,0.0225433812957329
18,20,20,01-06-2020,195.7296448,0.1136522162292277
19,21,21,01-07-2020,197.1722717,0.0073705079344221
20,22,22,01-08-2020,216.9077911,0.1000927728318097
21,23,23,01-09-2020,202.7779236,-0.0651422774089556
22,24,24,01-10-2020,195.2001038,-0.0373700433729069
23,25,25,01-11-2020,206.383606,0.057292501296303
24,26,26,01-12-2020,214.9952087,0.0417261955390004
25,27,27,01-01-2021,224.2167358,0.0428917795692254
26,28,28,01-02-2021,224.6227112,0.0018106382583418
27,29,29,01-03-2021,228.4244385,0.0169249461895018
28,30,30,01-04-2021,244.3231506,0.0696016249592312
29,31,31,01-05-2021,241.9010315,-0.0099135881886421
30,32,32,01-06-2021,263.0660095,0.0874943685388958
31,33,33,01-07-2021,276.6708984,0.0517166354021119
32,34,34,01-08-2021,293.150116,0.0595625260744807
33,35,35,01-09-2021,274.2913513,-0.0643314249959227
34,36,36,01-10-2021,322.6465454,0.1762913554175924
35,37,37,01-11-2021,321.6444092,-0.0031059876954752
36,38,38,01-12-2021,327.8180237,0.0191939120451531
37,39,39,01-01-2022,303.1186218,-0.0753448563359147
38,40,40,01-02-2022,291.2367554,-0.0391987345727633
39,41,41,01-03-2022,301.1374817,0.033995455987009
40,42,42,01-04-2022,271.0637512,-0.0998671116269749
41,43,43,01-05-2022,265.5452271,-0.0203587682807808
42,44,44,01-06-2022,251.4393768,-0.053120330777732
43,45,45,01-07-2022,274.8475342,0.0930966251106297
44,46,46,01-08-2022,255.9820251,-0.0686399066846712
45,47,47,01-09-2022,228.495636,-0.1073762467863217
46,48,48,01-10-2022,227.7401733,-0.0033062456387569
47,49,49,01-11-2022,250.3150482,0.0991255717991499
48,50,50,01-12-2022,235.9478302,-0.057396541291919
49,51,51,01-01-2023,243.8088531,0.033316784025251
50,52,52,01-02-2023,245.3928223,0.0064967665442006
51,53,53,01-03-2023,284.3554993,0.1587767589728723
52,54,54,01-04-2023,303.0561523,0.0657650477871381
53,55,55,01-05-2023,323.8970337,0.0687690424425677
54,56,56,01-06-2023,336.6150513,0.0392656192454656
55,57,57,01-07-2023,332.0482788,-0.0135667507509341
56,58,58,01-08-2023,323.9823914,-0.024291309170912
57,59,59,01-09-2023,312.7715454,-0.0346032571447956
58,60,60,01-10-2023,334.9206238,0.0708155160715588
59,61,61,01-11-2023,375.3357849,0.1206708641631284
60,62,62,01-12-2023,373.2488403,-0.0055602068440024
