Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2018-12-01,95.73469543457031,101.56999969482422,113.41999816894531,93.95999908447266,113.0,944314600
2019-01-01,98.43038177490234,104.43000030517578,107.9000015258789,97.19999694824219,99.55000305175781,714212800
2019-02-01,105.59374237060547,112.02999877929688,113.23999786376953,102.3499984741211,103.77999877929688,469095900
2019-03-01,111.63894653320312,117.94000244140625,120.81999969482422,108.80000305175781,112.88999938964844,589095800
2019-04-01,123.62261199951172,130.60000610351562,131.3699951171875,118.0999984741211,118.94999694824219,433157700
2019-05-01,117.07228088378906,123.68000030517578,130.64999389648438,123.04000091552734,130.52999877929688,547218800
2019-06-01,127.27249145507812,133.9600067138672,138.39999389648438,119.01000213623047,123.8499984741211,508324300
2019-07-01,129.4671630859375,136.27000427246094,141.67999267578125,134.6699981689453,136.6300048828125,484079900
2019-08-01,130.97775268554688,137.86000061035156,140.94000244140625,130.77999877929688,137.0,584482000
2019-09-01,132.5291748046875,139.02999877929688,142.3699951171875,134.50999450683594,136.61000061035156,472544800
2019-10-01,136.6663055419922,143.3699951171875,145.6699981689453,133.22000122070312,139.66000366210938,549523400
2019-11-01,144.30174255371094,151.3800048828125,152.5,142.97000122070312,144.25999450683594,392371800
2019-12-01,150.83773803710938,157.6999969482422,159.5500030517578,146.64999389648438,151.80999755859375,450303300
2020-01-01,162.822509765625,170.22999572753906,174.0500030517578,156.50999450683594,158.77999877929688,558530000
2020-02-01,154.96022033691406,162.00999450683594,190.6999969482422,152.0,170.42999267578125,887522300
2020-03-01,151.25936889648438,157.7100067138672,175.0,132.52000427246094,165.30999755859375,1612695500
2020-04-01,171.87994384765625,179.2100067138672,180.39999389648438,150.36000061035156,153.0,984705000
2020-05-01,175.75473022460938,183.25,187.50999450683594,173.8000030517578,175.8000030517578,688845000
2020-06-01,195.72964477539062,203.50999450683594,204.39999389648438,181.35000610351562,182.5399932861328,764965400
2020-07-01,197.17227172851562,205.00999450683594,216.3800048828125,197.50999450683594,203.13999938964844,770190800
2020-08-01,216.90782165527344,225.52999877929688,231.14999389648438,203.13999938964844,211.52000427246094,692423900
2020-09-01,202.77793884277344,210.3300018310547,232.86000061035156,196.25,225.50999450683594,768176300
2020-10-01,195.20008850097656,202.47000122070312,225.2100067138672,199.6199951171875,213.49000549316406,631618000
2020-11-01,206.38363647460938,214.07000732421875,228.1199951171875,200.1199951171875,204.2899932861328,573443000
2020-12-01,214.9951934814453,222.4199981689453,227.17999267578125,209.11000061035156,214.50999450683594,594761700
2021-01-01,224.2167510986328,231.9600067138672,242.63999938964844,211.94000244140625,222.52999877929688,648076400
2021-02-01,224.6227264404297,232.3800048828125,246.1300048828125,227.8800048828125,235.05999755859375,490962200
2021-03-01,228.42446899414062,235.77000427246094,241.0500030517578,224.25999450683594,235.89999389648438,724945800
2021-04-01,244.32318115234375,252.17999267578125,263.19000244140625,238.0500030517578,238.47000122070312,568661600
2021-05-01,241.90106201171875,249.67999267578125,254.35000610351562,238.07000732421875,253.39999389648438,495084900
2021-06-01,263.0660095214844,270.8999938964844,271.6499938964844,243.0,251.22999572753906,508572200
2021-07-01,276.6707763671875,284.9100036621094,290.1499938964844,269.6000061035156,269.6099853515625,522672700
2021-08-01,293.150146484375,301.8800048828125,305.8399963378906,283.739990234375,286.3599853515625,441308900
2021-09-01,274.2914123535156,281.9200134277344,305.32000732421875,281.6199951171875,302.8699951171875,502918700
2021-10-01,322.64654541015625,331.6199951171875,332.0,280.25,282.1199951171875,516515800
2021-11-01,321.6444091796875,330.5899963378906,349.6700134277344,326.3699951171875,331.3599853515625,509885200
2021-12-01,327.8180847167969,336.32000732421875,344.29998779296875,317.25,335.1300048828125,625674800
2022-01-01,303.1186218261719,310.9800109863281,338.0,276.04998779296875,335.3500061035156,947531400
2022-02-01,291.23675537109375,298.7900085449219,315.1199951171875,271.5199890136719,310.4100036621094,697050600
2022-03-01,301.1374816894531,308.30999755859375,315.95001220703125,270.0,296.3999938964844,734334200
2022-04-01,271.06378173828125,277.5199890136719,315.1099853515625,270.0,309.3699951171875,627343400
